,,,,,,,,,,,,,,,
PROCESSO Nº,,,,,ASSUNTO,,,,,,,,,,
,,,,,,,,,,,,,,,
REQUISITANTE,,,,,,DA ELABORAÇÃO DO MAPA,,,,,,,,,
ÓRGÃO,,,,,,RESPONSÁVEIS PELO ORÇAMENTO,,,,,,,,,
SETOR,,,,,,ANALISTAS RESPONSÁVEIS,,,,,,,,,
TELEFONE,,,,,,DATA DA LICITAÇÃO,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,QUANT.,UNID.,"CÓDIGO
(CATMAT/
CATSER)","DESCRIÇÃO SUMÁRIA DO
PRODUTO/SERVIÇO","ORÇAMENTO EMPRESA E0001
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0002
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0003
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0004
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0005
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0006
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0007
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0008
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0009
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0010
PREÇO UNITÁRIO (R$)","ORÇAMENTO DA LICITAÇÃO
PREÇO UNITÁRIO (R$)"
1525,100,Caixas,,,R$21.00 ,R$28.00 ,R$4.00 ,R$3.00 ,R$2.00 ,R$8.00 ,R$16.00 ,R$7.00 ,R$7.00 ,R$7.00 ,R$6.00 
1526,200,Packs,,,R$40.00 ,R$13.00 ,R$24.00 ,R$26.00 ,R$10.00 ,R$38.00 ,R$1.00 ,R$26.00 ,R$10.00 ,R$12.00 ,R$18.00 
1527,250,Litros,,,R$35.00 ,R$32.00 ,R$36.00 ,R$35.00 ,R$9.00 ,R$3.00 ,R$1.00 ,R$25.00 ,R$24.00 ,R$5.00 ,R$37.00 
1528,150,Packs,,,R$6.00 ,R$26.00 ,R$19.00 ,R$5.00 ,R$27.00 ,R$23.00 ,R$6.00 ,R$18.00 ,R$32.00 ,R$22.00 ,R$2.00 
1529,20,Pneus,,,R$7.00 ,R$7.00 ,R$8.00 ,R$22.00 ,R$19.00 ,R$37.00 ,R$5.00 ,R$33.00 ,R$32.00 ,R$12.00 ,R$1.00 
1530,100,Caixas,,,R$4.00 ,R$11.00 ,R$34.00 ,R$14.00 ,R$19.00 ,R$31.00 ,R$40.00 ,R$22.00 ,R$25.00 ,R$34.00 ,R$26.00 
1531,200,Packs,,,R$32.00 ,R$26.00 ,R$18.00 ,R$28.00 ,R$17.00 ,R$35.00 ,R$4.00 ,R$10.00 ,R$1.00 ,R$29.00 ,R$39.00 
1532,250,Litros,,,R$8.00 ,R$4.00 ,R$4.00 ,R$2.00 ,R$26.00 ,R$6.00 ,R$25.00 ,R$21.00 ,R$1.00 ,R$9.00 ,R$40.00 
1533,150,Packs,,,R$1.00 ,R$6.00 ,R$16.00 ,R$8.00 ,R$10.00 ,R$22.00 ,R$38.00 ,R$33.00 ,R$20.00 ,R$6.00 ,R$15.00 
1534,20,Pneus,,,R$17.00 ,R$31.00 ,R$24.00 ,R$27.00 ,R$3.00 ,R$22.00 ,R$30.00 ,R$4.00 ,R$22.00 ,R$9.00 ,R$26.00 
1535,100,Caixas,,,R$18.00 ,R$30.00 ,R$16.00 ,R$17.00 ,R$33.00 ,R$30.00 ,R$37.00 ,R$16.00 ,R$18.00 ,R$28.00 ,R$25.00 
1536,200,Packs,,,R$21.00 ,R$27.00 ,R$1.00 ,R$24.00 ,R$19.00 ,R$8.00 ,R$14.00 ,R$34.00 ,R$38.00 ,R$1.00 ,R$6.00 
1537,250,Litros,,,R$16.00 ,R$13.00 ,R$6.00 ,R$10.00 ,R$17.00 ,R$13.00 ,R$5.00 ,R$16.00 ,R$29.00 ,R$30.00 ,R$2.00 
1538,150,Packs,,,R$4.00 ,R$36.00 ,R$31.00 ,R$9.00 ,R$3.00 ,R$16.00 ,R$23.00 ,R$11.00 ,R$35.00 ,R$25.00 ,R$19.00 
1539,20,Pneus,,,R$25.00 ,R$4.00 ,R$35.00 ,R$5.00 ,R$7.00 ,R$33.00 ,R$8.00 ,R$27.00 ,R$11.00 ,R$32.00 ,R$21.00 
1540,20,Pneus,,,R$39.00 ,R$13.00 ,R$12.00 ,R$8.00 ,R$1.00 ,R$24.00 ,R$16.00 ,R$40.00 ,R$36.00 ,R$27.00 ,R$32.00 
1541,100,Caixas,,,R$7.00 ,R$18.00 ,R$33.00 ,R$27.00 ,R$8.00 ,R$40.00 ,R$16.00 ,R$8.00 ,R$21.00 ,R$3.00 ,R$32.00 
1542,200,Packs,,,R$14.00 ,R$20.00 ,R$12.00 ,R$4.00 ,R$18.00 ,R$10.00 ,R$15.00 ,R$3.00 ,R$18.00 ,R$2.00 ,R$8.00 
1543,250,Litros,,,R$17.00 ,R$16.00 ,R$34.00 ,R$9.00 ,R$36.00 ,R$1.00 ,R$34.00 ,R$12.00 ,R$27.00 ,R$26.00 ,R$25.00 
1544,150,Packs,,,R$34.00 ,R$4.00 ,R$20.00 ,R$26.00 ,R$23.00 ,R$19.00 ,R$15.00 ,R$12.00 ,R$18.00 ,R$9.00 ,R$36.00 
1545,20,Pneus,,,R$2.00 ,R$9.00 ,R$11.00 ,R$4.00 ,R$9.00 ,R$4.00 ,R$10.00 ,R$16.00 ,R$21.00 ,R$40.00 ,R$38.00 
1546,20,Pneus,,,R$30.00 ,R$35.00 ,R$3.00 ,R$40.00 ,R$38.00 ,R$35.00 ,R$1.00 ,R$31.00 ,R$25.00 ,R$18.00 ,R$18.00 
1547,100,Caixas,,,R$28.00 ,R$5.00 ,R$28.00 ,R$22.00 ,R$7.00 ,R$23.00 ,R$26.00 ,R$1.00 ,R$6.00 ,R$2.00 ,R$4.00 
1548,200,Packs,,,R$1.00 ,R$35.00 ,R$4.00 ,R$39.00 ,R$16.00 ,R$4.00 ,R$14.00 ,R$14.00 ,R$2.00 ,R$11.00 ,R$18.00 
1549,250,Litros,,,R$38.00 ,R$12.00 ,R$32.00 ,R$34.00 ,R$37.00 ,R$38.00 ,R$31.00 ,R$37.00 ,R$22.00 ,R$2.00 ,R$1.00 
1550,150,Packs,,,R$12.00 ,R$10.00 ,R$26.00 ,R$12.00 ,R$7.00 ,R$27.00 ,R$5.00 ,R$20.00 ,R$5.00 ,R$13.00 ,R$23.00 
1551,20,Pneus,,,R$19.00 ,R$6.00 ,R$24.00 ,R$1.00 ,R$20.00 ,R$32.00 ,R$38.00 ,R$12.00 ,R$20.00 ,R$40.00 ,R$2.00 
1552,20,Pneus,,,R$32.00 ,R$13.00 ,R$21.00 ,R$31.00 ,R$26.00 ,R$16.00 ,R$34.00 ,R$2.00 ,R$17.00 ,R$24.00 ,R$40.00 
1553,100,Caixas,,,R$19.00 ,R$18.00 ,R$38.00 ,R$18.00 ,R$36.00 ,R$12.00 ,R$6.00 ,R$2.00 ,R$34.00 ,R$21.00 ,R$24.00 
1554,200,Packs,,,R$34.00 ,R$11.00 ,R$27.00 ,R$6.00 ,R$36.00 ,R$18.00 ,R$39.00 ,R$8.00 ,R$9.00 ,R$8.00 ,R$30.00 
1555,250,Litros,,,R$21.00 ,R$40.00 ,R$28.00 ,R$32.00 ,R$29.00 ,R$21.00 ,R$2.00 ,R$14.00 ,R$1.00 ,R$3.00 ,R$24.00 
1556,150,Packs,,,R$37.00 ,R$40.00 ,R$12.00 ,R$34.00 ,R$23.00 ,R$31.00 ,R$33.00 ,R$12.00 ,R$13.00 ,R$23.00 ,R$8.00 
1557,20,Pneus,,,R$9.00 ,R$36.00 ,R$21.00 ,R$34.00 ,R$6.00 ,R$29.00 ,R$7.00 ,R$40.00 ,R$26.00 ,R$17.00 ,R$24.00 
1558,20,Pneus,,,R$12.00 ,R$32.00 ,R$14.00 ,R$26.00 ,R$18.00 ,R$40.00 ,R$29.00 ,R$39.00 ,R$12.00 ,R$26.00 ,R$17.00 
1559,100,Caixas,,,R$9.00 ,R$18.00 ,R$3.00 ,R$25.00 ,R$19.00 ,R$8.00 ,R$40.00 ,R$4.00 ,R$2.00 ,R$18.00 ,R$5.00 
1560,200,Packs,,,R$7.00 ,R$15.00 ,R$33.00 ,R$3.00 ,R$37.00 ,R$28.00 ,R$35.00 ,R$6.00 ,R$28.00 ,R$13.00 ,R$36.00 
1561,250,Litros,,,R$38.00 ,R$20.00 ,R$23.00 ,R$18.00 ,R$5.00 ,R$6.00 ,R$24.00 ,R$32.00 ,R$13.00 ,R$6.00 ,R$8.00 
1562,150,Packs,,,R$30.00 ,R$14.00 ,R$29.00 ,R$27.00 ,R$16.00 ,R$3.00 ,R$11.00 ,R$33.00 ,R$25.00 ,R$29.00 ,R$21.00 
1563,20,Pneus,,,R$34.00 ,R$24.00 ,R$5.00 ,R$35.00 ,R$39.00 ,R$40.00 ,R$26.00 ,R$28.00 ,R$9.00 ,R$28.00 ,R$12.00 
1564,20,Pneus,,,R$10.00 ,R$30.00 ,R$27.00 ,R$37.00 ,R$40.00 ,R$6.00 ,R$27.00 ,R$25.00 ,R$40.00 ,R$9.00 ,R$8.00 
1565,100,Caixas,,,R$4.00 ,R$40.00 ,R$34.00 ,R$8.00 ,R$15.00 ,R$17.00 ,R$40.00 ,R$15.00 ,R$3.00 ,R$33.00 ,R$12.00 
1566,200,Packs,,,R$26.00 ,R$22.00 ,R$19.00 ,R$14.00 ,R$39.00 ,R$20.00 ,R$11.00 ,R$24.00 ,R$8.00 ,R$17.00 ,R$11.00 
1567,250,Litros,,,R$12.00 ,R$7.00 ,R$31.00 ,R$7.00 ,R$36.00 ,R$8.00 ,R$16.00 ,R$12.00 ,R$25.00 ,R$27.00 ,R$9.00 
1568,150,Packs,,,R$8.00 ,R$37.00 ,R$15.00 ,R$15.00 ,R$10.00 ,R$29.00 ,R$38.00 ,R$22.00 ,R$16.00 ,R$19.00 ,R$15.00 
1569,20,Pneus,,,R$7.00 ,R$36.00 ,R$5.00 ,R$7.00 ,R$29.00 ,R$1.00 ,R$26.00 ,R$22.00 ,R$24.00 ,R$15.00 ,R$7.00 
1570,20,Pneus,,,R$40.00 ,R$3.00 ,R$10.00 ,R$1.00 ,R$14.00 ,R$29.00 ,R$34.00 ,R$14.00 ,R$1.00 ,R$6.00 ,R$30.00 
1571,100,Caixas,,,R$32.00 ,R$36.00 ,R$31.00 ,R$32.00 ,R$16.00 ,R$37.00 ,R$7.00 ,R$13.00 ,R$39.00 ,R$16.00 ,R$40.00 
1572,200,Packs,,,R$8.00 ,R$26.00 ,R$6.00 ,R$30.00 ,R$5.00 ,R$1.00 ,R$15.00 ,R$8.00 ,R$13.00 ,R$39.00 ,R$9.00 
1573,250,Litros,,,R$13.00 ,R$31.00 ,R$4.00 ,R$7.00 ,R$40.00 ,R$29.00 ,R$15.00 ,R$40.00 ,R$34.00 ,R$7.00 ,R$28.00 
1574,150,Packs,,,R$36.00 ,R$25.00 ,R$17.00 ,R$29.00 ,R$26.00 ,R$22.00 ,R$38.00 ,R$33.00 ,R$18.00 ,R$37.00 ,R$15.00 
1575,20,Pneus,,,R$33.00 ,R$22.00 ,R$25.00 ,R$38.00 ,R$39.00 ,R$2.00 ,R$2.00 ,R$7.00 ,R$21.00 ,R$21.00 ,R$16.00 
1576,20,Pneus,,,R$21.00 ,R$15.00 ,R$6.00 ,R$34.00 ,R$19.00 ,R$15.00 ,R$38.00 ,R$22.00 ,R$15.00 ,R$10.00 ,R$24.00 
1577,100,Caixas,,,R$38.00 ,R$33.00 ,R$17.00 ,R$8.00 ,R$37.00 ,R$37.00 ,R$40.00 ,R$36.00 ,R$27.00 ,R$26.00 ,R$26.00 
1578,200,Packs,,,R$40.00 ,R$9.00 ,R$4.00 ,R$25.00 ,R$9.00 ,R$4.00 ,R$38.00 ,R$7.00 ,R$35.00 ,R$11.00 ,R$40.00 
1579,250,Litros,,,R$29.00 ,R$33.00 ,R$20.00 ,R$3.00 ,R$36.00 ,R$37.00 ,R$38.00 ,R$10.00 ,R$9.00 ,R$39.00 ,R$16.00 
1580,150,Packs,,,R$7.00 ,R$10.00 ,R$32.00 ,R$23.00 ,R$34.00 ,R$16.00 ,R$29.00 ,R$8.00 ,R$38.00 ,R$37.00 ,R$23.00 
1581,20,Pneus,,,R$2.00 ,R$33.00 ,R$39.00 ,R$12.00 ,R$14.00 ,R$29.00 ,R$9.00 ,R$32.00 ,R$35.00 ,R$14.00 ,R$16.00 
1582,20,Pneus,,,R$10.00 ,R$25.00 ,R$20.00 ,R$19.00 ,R$24.00 ,R$13.00 ,R$17.00 ,R$8.00 ,R$18.00 ,R$35.00 ,R$30.00 
1583,100,Caixas,,,R$15.00 ,R$15.00 ,R$13.00 ,R$28.00 ,R$24.00 ,R$9.00 ,R$6.00 ,R$39.00 ,R$14.00 ,R$23.00 ,R$24.00 
1584,200,Packs,,,R$32.00 ,R$16.00 ,R$25.00 ,R$30.00 ,R$29.00 ,R$33.00 ,R$35.00 ,R$27.00 ,R$30.00 ,R$4.00 ,R$40.00 
1585,250,Litros,,,R$34.00 ,R$2.00 ,R$7.00 ,R$11.00 ,R$30.00 ,R$26.00 ,R$2.00 ,R$5.00 ,R$38.00 ,R$23.00 ,R$1.00 
1586,100,Caixas,,,R$15.00 ,R$31.00 ,R$6.00 ,R$35.00 ,R$34.00 ,R$26.00 ,R$29.00 ,R$24.00 ,R$26.00 ,R$24.00 ,R$6.00 
1587,200,Packs,,,R$14.00 ,R$10.00 ,R$30.00 ,R$34.00 ,R$38.00 ,R$23.00 ,R$18.00 ,R$8.00 ,R$16.00 ,R$32.00 ,R$36.00 
1588,250,Litros,,,R$26.00 ,R$2.00 ,R$17.00 ,R$11.00 ,R$14.00 ,R$13.00 ,R$31.00 ,R$28.00 ,R$2.00 ,R$37.00 ,R$7.00 
1589,150,Packs,,,R$24.00 ,R$10.00 ,R$6.00 ,R$20.00 ,R$39.00 ,R$24.00 ,R$24.00 ,R$36.00 ,R$11.00 ,R$13.00 ,R$20.00 
1590,20,Pneus,,,R$12.00 ,R$38.00 ,R$7.00 ,R$14.00 ,R$18.00 ,R$30.00 ,R$7.00 ,R$35.00 ,R$9.00 ,R$27.00 ,R$20.00 
1591,100,Caixas,,,R$7.00 ,R$28.00 ,R$12.00 ,R$22.00 ,R$36.00 ,R$32.00 ,R$31.00 ,R$38.00 ,R$18.00 ,R$28.00 ,R$33.00 
1592,200,Packs,,,R$9.00 ,R$5.00 ,R$38.00 ,R$2.00 ,R$10.00 ,R$21.00 ,R$15.00 ,R$10.00 ,R$3.00 ,R$31.00 ,R$37.00 
1593,250,Litros,,,R$21.00 ,R$15.00 ,R$13.00 ,R$33.00 ,R$25.00 ,R$36.00 ,R$34.00 ,R$18.00 ,R$24.00 ,R$26.00 ,R$21.00 
1594,150,Packs,,,R$25.00 ,R$19.00 ,R$12.00 ,R$31.00 ,R$14.00 ,R$31.00 ,R$17.00 ,R$14.00 ,R$2.00 ,R$31.00 ,R$22.00 
1595,20,Pneus,,,R$29.00 ,R$19.00 ,R$37.00 ,R$9.00 ,R$1.00 ,R$14.00 ,R$7.00 ,R$26.00 ,R$18.00 ,R$33.00 ,R$31.00 
1596,100,Caixas,,,R$28.00 ,R$6.00 ,R$9.00 ,R$17.00 ,R$21.00 ,R$15.00 ,R$32.00 ,R$20.00 ,R$14.00 ,R$24.00 ,R$22.00 
1597,200,Packs,,,R$24.00 ,R$26.00 ,R$15.00 ,R$9.00 ,R$6.00 ,R$25.00 ,R$23.00 ,R$26.00 ,R$25.00 ,R$22.00 ,R$6.00 
1598,250,Litros,,,R$21.00 ,R$13.00 ,R$23.00 ,R$14.00 ,R$15.00 ,R$37.00 ,R$15.00 ,R$23.00 ,R$30.00 ,R$13.00 ,R$14.00 
1599,150,Packs,,,R$27.00 ,R$9.00 ,R$7.00 ,R$9.00 ,R$11.00 ,R$7.00 ,R$32.00 ,R$35.00 ,R$14.00 ,R$40.00 ,R$24.00 
1600,20,Pneus,,,R$8.00 ,R$33.00 ,R$26.00 ,R$9.00 ,R$16.00 ,R$30.00 ,R$30.00 ,R$23.00 ,R$1.00 ,R$2.00 ,R$30.00 
1601,100,Caixas,,,R$11.00 ,R$38.00 ,R$2.00 ,R$22.00 ,R$3.00 ,R$34.00 ,R$27.00 ,R$34.00 ,R$30.00 ,R$35.00 ,R$15.00 
1602,200,Packs,,,R$11.00 ,R$5.00 ,R$40.00 ,R$34.00 ,R$10.00 ,R$2.00 ,R$16.00 ,R$27.00 ,R$35.00 ,R$40.00 ,R$12.00 
1603,250,Litros,,,R$38.00 ,R$19.00 ,R$12.00 ,R$27.00 ,R$22.00 ,R$2.00 ,R$32.00 ,R$1.00 ,R$29.00 ,R$18.00 ,R$23.00 
1604,150,Packs,,,R$7.00 ,R$10.00 ,R$39.00 ,R$16.00 ,R$37.00 ,R$39.00 ,R$13.00 ,R$33.00 ,R$5.00 ,R$19.00 ,R$16.00 
1605,20,Pneus,,,R$7.00 ,R$11.00 ,R$32.00 ,R$36.00 ,R$6.00 ,R$4.00 ,R$39.00 ,R$37.00 ,R$17.00 ,R$40.00 ,R$19.00 
1606,100,Caixas,,,R$1.00 ,R$32.00 ,R$40.00 ,R$6.00 ,R$31.00 ,R$36.00 ,R$7.00 ,R$11.00 ,R$29.00 ,R$5.00 ,R$36.00 
1607,200,Packs,,,R$23.00 ,R$14.00 ,R$36.00 ,R$34.00 ,R$11.00 ,R$22.00 ,R$11.00 ,R$4.00 ,R$11.00 ,R$8.00 ,R$19.00 
1608,250,Litros,,,R$13.00 ,R$14.00 ,R$2.00 ,R$2.00 ,R$2.00 ,R$4.00 ,R$1.00 ,R$10.00 ,R$4.00 ,R$15.00 ,R$16.00 
1609,150,Packs,,,R$21.00 ,R$3.00 ,R$30.00 ,R$31.00 ,R$29.00 ,R$10.00 ,R$14.00 ,R$23.00 ,R$13.00 ,R$14.00 ,R$37.00 
1610,20,Pneus,,,R$11.00 ,R$33.00 ,R$4.00 ,R$38.00 ,R$24.00 ,R$28.00 ,R$35.00 ,R$9.00 ,R$34.00 ,R$13.00 ,R$30.00 
1611,100,Caixas,,,R$21.00 ,R$1.00 ,R$34.00 ,R$21.00 ,R$6.00 ,R$9.00 ,R$26.00 ,R$10.00 ,R$38.00 ,R$6.00 ,R$31.00 
1612,200,Packs,,,R$19.00 ,R$29.00 ,R$22.00 ,R$27.00 ,R$35.00 ,R$18.00 ,R$20.00 ,R$10.00 ,R$11.00 ,R$26.00 ,R$23.00 
1613,250,Litros,,,R$8.00 ,R$5.00 ,R$26.00 ,R$35.00 ,R$6.00 ,R$37.00 ,R$3.00 ,R$21.00 ,R$34.00 ,R$23.00 ,R$10.00 
1614,150,Packs,,,R$3.00 ,R$3.00 ,R$19.00 ,R$8.00 ,R$29.00 ,R$7.00 ,R$14.00 ,R$6.00 ,R$16.00 ,R$26.00 ,R$8.00 
1615,20,Pneus,,,R$37.00 ,R$40.00 ,R$38.00 ,R$40.00 ,R$35.00 ,R$39.00 ,R$23.00 ,R$25.00 ,R$5.00 ,R$26.00 ,R$40.00 
1616,100,Caixas,,,R$40.00 ,R$26.00 ,R$25.00 ,R$13.00 ,R$29.00 ,R$20.00 ,R$1.00 ,R$4.00 ,R$30.00 ,R$7.00 ,R$28.00 
1617,200,Packs,,,R$23.00 ,R$16.00 ,R$14.00 ,R$11.00 ,R$15.00 ,R$27.00 ,R$21.00 ,R$40.00 ,R$28.00 ,R$31.00 ,R$34.00 
1618,250,Litros,,,R$3.00 ,R$31.00 ,R$19.00 ,R$36.00 ,R$37.00 ,R$9.00 ,R$40.00 ,R$34.00 ,R$28.00 ,R$34.00 ,R$16.00 
1619,150,Packs,,,R$24.00 ,R$35.00 ,R$13.00 ,R$36.00 ,R$25.00 ,R$23.00 ,R$3.00 ,R$8.00 ,R$21.00 ,R$5.00 ,R$37.00 
1620,20,Pneus,,,R$37.00 ,R$33.00 ,R$24.00 ,R$38.00 ,R$17.00 ,R$4.00 ,R$36.00 ,R$30.00 ,R$19.00 ,R$17.00 ,R$34.00 
1621,20,Pneus,,,R$29.00 ,R$23.00 ,R$3.00 ,R$36.00 ,R$16.00 ,R$21.00 ,R$21.00 ,R$31.00 ,R$14.00 ,R$5.00 ,R$37.00 
1622,100,Caixas,,,R$25.00 ,R$26.00 ,R$23.00 ,R$1.00 ,R$24.00 ,R$13.00 ,R$37.00 ,R$33.00 ,R$33.00 ,R$30.00 ,R$36.00 
1623,200,Packs,,,R$40.00 ,R$38.00 ,R$2.00 ,R$20.00 ,R$13.00 ,R$20.00 ,R$7.00 ,R$39.00 ,R$28.00 ,R$3.00 ,R$19.00 
1624,250,Litros,,,R$18.00 ,R$10.00 ,R$16.00 ,R$12.00 ,R$39.00 ,R$39.00 ,R$20.00 ,R$8.00 ,R$11.00 ,R$29.00 ,R$35.00 
1625,150,Packs,,,R$20.00 ,R$36.00 ,R$38.00 ,R$16.00 ,R$20.00 ,R$3.00 ,R$21.00 ,R$1.00 ,R$22.00 ,R$37.00 ,R$34.00 
1626,20,Pneus,,,R$39.00 ,R$24.00 ,R$8.00 ,R$25.00 ,R$15.00 ,R$17.00 ,R$34.00 ,R$3.00 ,R$24.00 ,R$9.00 ,R$19.00 
1627,20,Pneus,,,R$9.00 ,R$26.00 ,R$33.00 ,R$34.00 ,R$6.00 ,R$40.00 ,R$23.00 ,R$22.00 ,R$37.00 ,R$9.00 ,R$17.00 
1628,100,Caixas,,,R$36.00 ,R$19.00 ,R$12.00 ,R$5.00 ,R$39.00 ,R$4.00 ,R$1.00 ,R$32.00 ,R$4.00 ,R$13.00 ,R$28.00 
1629,200,Packs,,,R$35.00 ,R$31.00 ,R$17.00 ,R$4.00 ,R$13.00 ,R$5.00 ,R$7.00 ,R$26.00 ,R$22.00 ,R$14.00 ,R$3.00 
1630,250,Litros,,,R$18.00 ,R$36.00 ,R$21.00 ,R$15.00 ,R$6.00 ,R$25.00 ,R$11.00 ,R$24.00 ,R$37.00 ,R$39.00 ,R$26.00 
1631,150,Packs,,,R$4.00 ,R$39.00 ,R$2.00 ,R$23.00 ,R$27.00 ,R$24.00 ,R$6.00 ,R$12.00 ,R$15.00 ,R$37.00 ,R$4.00 
1632,20,Pneus,,,R$15.00 ,R$14.00 ,R$7.00 ,R$29.00 ,R$27.00 ,R$20.00 ,R$1.00 ,R$37.00 ,R$4.00 ,R$9.00 ,R$39.00 
1633,20,Pneus,,,R$24.00 ,R$34.00 ,R$16.00 ,R$30.00 ,R$14.00 ,R$3.00 ,R$13.00 ,R$16.00 ,R$40.00 ,R$29.00 ,R$38.00 
1634,100,Caixas,,,R$18.00 ,R$36.00 ,R$36.00 ,R$36.00 ,R$16.00 ,R$34.00 ,R$5.00 ,R$15.00 ,R$14.00 ,R$32.00 ,R$29.00 
1635,200,Packs,,,R$31.00 ,R$11.00 ,R$10.00 ,R$8.00 ,R$38.00 ,R$19.00 ,R$24.00 ,R$36.00 ,R$20.00 ,R$3.00 ,R$15.00 
1636,250,Litros,,,R$4.00 ,R$7.00 ,R$10.00 ,R$20.00 ,R$38.00 ,R$25.00 ,R$23.00 ,R$24.00 ,R$11.00 ,R$1.00 ,R$10.00 
1637,150,Packs,,,R$6.00 ,R$35.00 ,R$14.00 ,R$4.00 ,R$2.00 ,R$22.00 ,R$32.00 ,R$33.00 ,R$38.00 ,R$26.00 ,R$13.00 
1638,20,Pneus,,,R$11.00 ,R$2.00 ,R$37.00 ,R$13.00 ,R$17.00 ,R$16.00 ,R$34.00 ,R$37.00 ,R$2.00 ,R$28.00 ,R$36.00 
1639,20,Pneus,,,R$12.00 ,R$2.00 ,R$24.00 ,R$6.00 ,R$3.00 ,R$26.00 ,R$40.00 ,R$6.00 ,R$40.00 ,R$39.00 ,R$14.00 
1640,100,Caixas,,,R$4.00 ,R$10.00 ,R$7.00 ,R$2.00 ,R$33.00 ,R$25.00 ,R$4.00 ,R$38.00 ,R$10.00 ,R$29.00 ,R$34.00 
1641,200,Packs,,,R$35.00 ,R$29.00 ,R$23.00 ,R$31.00 ,R$15.00 ,R$8.00 ,R$37.00 ,R$35.00 ,R$23.00 ,R$10.00 ,R$5.00 
1642,250,Litros,,,R$19.00 ,R$17.00 ,R$23.00 ,R$21.00 ,R$27.00 ,R$34.00 ,R$15.00 ,R$37.00 ,R$10.00 ,R$10.00 ,R$22.00 
1643,150,Packs,,,R$22.00 ,R$14.00 ,R$25.00 ,R$35.00 ,R$38.00 ,R$20.00 ,R$11.00 ,R$30.00 ,R$6.00 ,R$4.00 ,R$20.00 
1644,20,Pneus,,,R$33.00 ,R$28.00 ,R$32.00 ,R$35.00 ,R$13.00 ,R$33.00 ,R$31.00 ,R$24.00 ,R$27.00 ,R$12.00 ,R$39.00 
1645,20,Pneus,,,R$39.00 ,R$9.00 ,R$6.00 ,R$12.00 ,R$19.00 ,R$25.00 ,R$23.00 ,R$36.00 ,R$11.00 ,R$6.00 ,R$7.00 
1646,100,Caixas,,,R$10.00 ,R$36.00 ,R$17.00 ,R$27.00 ,R$20.00 ,R$12.00 ,R$9.00 ,R$12.00 ,R$26.00 ,R$9.00 ,R$13.00 
1647,200,Packs,,,R$1.00 ,R$29.00 ,R$30.00 ,R$29.00 ,R$37.00 ,R$24.00 ,R$33.00 ,R$28.00 ,R$13.00 ,R$14.00 ,R$31.00 
1648,250,Litros,,,R$26.00 ,R$20.00 ,R$8.00 ,R$4.00 ,R$34.00 ,R$1.00 ,R$30.00 ,R$3.00 ,R$36.00 ,R$29.00 ,R$13.00 
1649,150,Packs,,,R$14.00 ,R$3.00 ,R$31.00 ,R$28.00 ,R$28.00 ,R$13.00 ,R$24.00 ,R$10.00 ,R$5.00 ,R$30.00 ,R$31.00 
1650,20,Pneus,,,R$3.00 ,R$38.00 ,R$26.00 ,R$40.00 ,R$21.00 ,R$23.00 ,R$17.00 ,R$36.00 ,R$26.00 ,R$2.00 ,R$40.00 
1651,20,Pneus,,,R$9.00 ,R$28.00 ,R$5.00 ,R$29.00 ,R$8.00 ,R$13.00 ,R$28.00 ,R$18.00 ,R$32.00 ,R$21.00 ,R$21.00 
1652,100,Caixas,,,R$7.00 ,R$38.00 ,R$14.00 ,R$24.00 ,R$2.00 ,R$23.00 ,R$12.00 ,R$8.00 ,R$38.00 ,R$16.00 ,R$29.00 
1653,200,Packs,,,R$37.00 ,R$3.00 ,R$31.00 ,R$7.00 ,R$20.00 ,R$8.00 ,R$17.00 ,R$32.00 ,R$2.00 ,R$23.00 ,R$27.00 
1654,250,Litros,,,R$13.00 ,R$19.00 ,R$24.00 ,R$32.00 ,R$23.00 ,R$32.00 ,R$19.00 ,R$29.00 ,R$20.00 ,R$5.00 ,R$13.00 
1655,150,Packs,,,R$9.00 ,R$38.00 ,R$23.00 ,R$23.00 ,R$29.00 ,R$35.00 ,R$18.00 ,R$30.00 ,R$19.00 ,R$40.00 ,R$19.00 
1656,20,Pneus,,,R$40.00 ,R$17.00 ,R$1.00 ,R$38.00 ,R$25.00 ,R$10.00 ,R$16.00 ,R$5.00 ,R$31.00 ,R$22.00 ,R$21.00 
1657,20,Pneus,,,R$2.00 ,R$7.00 ,R$13.00 ,R$13.00 ,R$26.00 ,R$8.00 ,R$39.00 ,R$40.00 ,R$33.00 ,R$2.00 ,R$23.00 
1658,100,Caixas,,,R$11.00 ,R$35.00 ,R$19.00 ,R$34.00 ,R$22.00 ,R$17.00 ,R$18.00 ,R$29.00 ,R$32.00 ,R$33.00 ,R$23.00 
